temperature   1(scheme2)   2    3    4    scheme3   scheme4   scheme5   
732.0 -11.063452 -11.527495 -11.173456 -11.275778 -11.254801 -11.260045250000001 -11.170895333333334
735.0 -11.0604925 -11.525042 -11.16944 -11.271818 -11.251658166666667 -11.256698125 -11.167250166666667
738.0 -11.057532 -11.522587 -11.165424 -11.2678585 -11.248514333333333 -11.253350375 -11.163604833333332
741.0 -11.054574 -11.520132 -11.16059 -11.263898 -11.245098666666665 -11.249798499999999 -11.159687333333332
744.0 -11.051614 -11.517654 -11.155498 -11.259937 -11.241588666666667 -11.24617575 -11.155683000000002
747.0 -11.048654 -11.51518 -11.150404 -11.255978 -11.238079333333333 -11.242554 -11.151678666666667
750.0 -11.045694 -11.512703 -11.14531 -11.252017 -11.234569 -11.238931000000001 -11.147673666666668
753.0 -11.042735 -11.510227 -11.140218 -11.248057 -11.23106 -11.23530925 -11.14367
756.0 -11.039775 -11.507751 -11.135125 -11.244096 -11.227550333333333 -11.23168675 -11.139665333333333
759.0 -11.036817 -11.505276 -11.130033 -11.240136 -11.224041999999999 -11.2280655 -11.135661999999998
762.0 -11.034017 -11.502798 -11.124938 -11.236177 -11.220584333333335 -11.2244825 -11.131710666666665
765.0 -11.031299 -11.500323 -11.119845 -11.232217 -11.217155666666665 -11.220920999999999 -11.127787
768.0 -11.028581 -11.497847 -11.114752 -11.228257 -11.213726666666668 -11.217359250000001 -11.123863333333333
771.0 -11.025863 -11.49537 -11.109385 -11.224297 -11.210206 -11.21372875 -11.119848333333332
774.0 -11.023144 -11.492893 -11.103656 -11.220337 -11.206564333333333 -11.2100075 -11.115712333333335
777.0 -11.020425 -11.490418 -11.097388 -11.216376 -11.202743666666668 -11.20615175 -11.111396333333332
780.0 -11.017707 -11.487942 -11.091387 -11.212417 -11.199011999999998 -11.20236325 -11.107170333333334
783.0 -11.014989 -11.485466 -11.085388 -11.208457 -11.195281000000001 -11.198575000000002 -11.102944666666668
786.0 -11.012271 -11.482989 -11.079388 -11.204768 -11.191549333333334 -11.194854000000001 -11.098809000000001
789.0 -11.009553 -11.480513 -11.075062 -11.201182 -11.188376 -11.191577500000001 -11.095265666666668
792.0 -11.006834 -11.477798 -11.073146 -11.197595 -11.185926 -11.18884325 -11.092525
795.0 -11.004115 -11.474997 -11.071229 -11.194009 -11.183447000000001 -11.186087500000001 -11.089784333333334
798.0 -11.001397 -11.472198 -11.069312 -11.190422 -11.180969 -11.18333225 -11.087043666666666
800.0 -10.999585 -11.470329 -11.068034 -11.188031 -11.179316 -11.18149475 -11.085216666666668
810.0 -10.990524 -11.459824 -11.061212 -11.176076 -11.170519999999998 -11.171909 -11.075937333333334
820.0 -10.9814625 -11.450504 -11.0532465 -11.164121 -11.161737666666667 -11.1623335 -11.066276666666667
830.0 -10.972402 -11.43932 -11.045203 -11.152165 -11.152308333333332 -11.152272499999999 -11.05659
840.0 -10.963341 -11.428135 -11.03716 -11.140209 -11.142878666666666 -11.142211249999999 -11.046903333333333
850.0 -10.95644 -11.416952 -11.029117 -11.128255 -11.134169666666667 -11.132691000000001 -11.037937333333332
860.0 -10.951522 -11.4057665 -11.021072 -11.1163 -11.126120166666666 -11.123665125 -11.029631333333334
870.0 -10.946604 -11.394582 -11.013028 -11.104343 -11.118071333333333 -11.11463925 -11.021325
880.0 -10.94135 -11.383398 -11.004986 -11.092389 -11.109911333333335 -11.10553075 -11.012908333333334
890.0 -10.934831 -11.370649 -10.996942 -11.080433 -11.100807333333336 -11.095713750000002 -11.004068666666667
900.0 -10.927765 -11.362135 -10.988898 -11.068478 -11.092932666666668 -11.086819 -10.995047
910.0 -10.9205265 -11.3565645 -10.980843 -11.057483 -11.085977999999999 -11.07885425 -10.986284166666666
920.0 -10.913288 -11.350994 -10.972432 -11.047452 -11.078904666666666 -11.0710415 -10.977724
930.0 -10.906049 -11.345424 -10.964021 -11.037421 -11.071831333333334 -11.06322875 -10.969163666666667
940.0 -10.89881 -11.339853 -10.95561 -11.0273905 -11.064757666666665 -11.055415874999998 -10.9606035
950.0 -10.890802 -11.334283 -10.947316 -11.017362 -11.057467 -11.04744075 -10.951826666666667
960.0 -10.878964 -11.328712 -10.939068 -11.007331 -11.048914666666667 -11.03851875 -10.941787666666668
970.0 -10.867127 -11.321775 -10.930818 -10.9973 -11.039906666666667 -11.029255 -10.931748333333331
980.0 -10.859946 -11.314752 -10.922568 -10.987269 -11.032421999999999 -11.021133749999999 -10.923260999999998
990.0 -10.854797 -11.307727 -10.914319 -10.977239 -11.025614333333332 -11.013520499999998 -10.915451666666668
1000.0 -10.848269 -11.300703 -10.906072 -10.967208 -11.018348000000001 -11.005563 -10.907182999999998
1010.0 -10.841384 -11.293678 -10.897823 -10.957177 -11.010961666666667 -10.9975155 -10.898794666666667
1020.0 -10.834067 -11.286654 -10.889577 -10.947146 -11.003432666666667 -10.989360999999999 -10.890263333333332
1030.0 -10.826749 -11.279629 -10.88133 -10.937114 -10.995902666666666 -10.9812055 -10.881731
1040.0 -10.81943 -11.272604 -10.873082 -10.927044 -10.988371999999998 -10.97304 -10.873185333333334
1050.0 -10.8105135 -11.26558 -10.864835 -10.916974 -10.980309499999999 -10.964475624999999 -10.864107499999998
1060.0 -10.800597 -11.258556 -10.856587 -10.906903 -10.971913333333333 -10.95566075 -10.854695666666666
1070.0 -10.789923 -11.251532 -10.84834 -10.896834 -10.963265 -10.94665725 -10.845032333333334
1080.0 -10.779248 -11.244507 -10.840636 -10.886763 -10.954797 -10.9377885 -10.835549
1090.0 -10.768574 -11.237858 -10.833175 -10.876693 -10.946535666666668 -10.929075000000001 -10.826147333333333
1100.0 -10.757899 -11.231756 -10.824434 -10.866623 -10.938029666666665 -10.920178 -10.816318666666666
1110.0 -10.747226 -11.225653 -10.815694 -10.857886 -10.929524333333333 -10.91161475 -10.806935333333334
1120.0 -10.73655 -11.219551 -10.806952 -10.849267 -10.921017666666666 -10.90308 -10.797589666666667
1130.0 -10.725876 -11.2134495 -10.798211 -10.840649 -10.912512166666666 -10.894546375 -10.788245333333334
1140.0 -10.716995 -11.207348 -10.78947 -10.83203 -10.904604333333333 -10.886460750000001 -10.779498333333331
1150.0 -10.70864 -11.201244 -10.780729 -10.823411 -10.896870999999999 -10.878506 -10.770926666666668
1160.0 -10.700286 -11.195143 -10.771989 -10.814792 -10.889139333333333 -10.870552499999999 -10.762355666666666
1170.0 -10.69193 -11.189041 -10.763248 -10.806173 -10.881406333333333 -10.862598 -10.753783666666665
1180.0 -10.683576 -11.182939 -10.754526 -10.797555 -10.873680333333333 -10.854648999999998 -10.745219
1190.0 -10.675221 -11.176838 -10.745805 -10.788936 -10.865954666666667 -10.8467 -10.736654000000001
1200.0 -10.667015 -11.170734 -10.737085 -10.780317 -10.858277999999999 -10.838787749999998 -10.728138999999999
1210.0 -10.66122 -11.164633 -10.728365 -10.771698 -10.851406000000003 -10.831479000000002 -10.720427666666666
1220.0 -10.655423 -11.158531 -10.7196455 -10.764638 -10.844533166666666 -10.824559375 -10.713235500000001
1230.0 -10.649629 -11.152429 -10.710924 -10.758299 -10.837660666666666 -10.81782025 -10.706283999999998
1240.0 -10.643832 -11.146326 -10.702205 -10.75196 -10.830787666666666 -10.811080749999999 -10.699332333333333
1250.0 -10.638037 -11.140224 -10.693484 -10.745622 -10.823915 -10.804341749999999 -10.692381
1260.0 -10.632241 -11.134004 -10.684764 -10.739282 -10.817003 -10.79757275 -10.685429
1270.0 -10.626445 -11.127609 -10.6760435 -10.732944 -10.8100325 -10.790760375000001 -10.6784775
1280.0 -10.620649 -11.1253605 -10.667323 -10.726605 -10.804444166666665 -10.784984374999999 -10.671525666666668
1290.0 -10.614854 -11.123283 -10.658603 -10.720265 -10.798913333333333 -10.77925125 -10.664574
1300.0 -10.609059 -11.120704 -10.649838 -10.713927 -10.793200333333333 -10.773382 -10.657608000000002
1310.0 -10.603263 -11.118028 -10.640681 -10.707589 -10.787324 -10.76739025 -10.650511
1320.0 -10.597467 -11.115351 -10.631525 -10.701249 -10.781447666666665 -10.761398 -10.643413666666666
1330.0 -10.591672 -11.112155 -10.62237 -10.694911 -10.775399 -10.755277 -10.636317666666665
1340.0 -10.585876 -11.108562 -10.613213 -10.688991 -10.769217 -10.7491605 -10.62936
1350.0 -10.58008 -11.104969 -10.604056 -10.68396 -10.763035 -10.74326625 -10.622698666666667
1360.0 -10.574285 -11.101376 -10.5949 -10.678929 -10.756853666666666 -10.7373725 -10.616038
1370.0 -10.568488 -11.098267 -10.585743 -10.673898 -10.750832666666668 -10.731599000000001 -10.609376333333335
1380.0 -10.562694 -11.095249 -10.576587 -10.668867 -10.744843333333336 -10.725849250000001 -10.602716000000001
1390.0 -10.556897 -11.092234 -10.567431 -10.6638365 -10.738853999999998 -10.720099625 -10.596054833333334
1400.0 -10.551103 -11.089218 -10.558274 -10.658262 -10.732864999999999 -10.71421425 -10.589213
1410.0 -10.545306 -11.086201 -10.549117 -10.652112 -10.726874666666667 -10.708184000000001 -10.582178333333333
1420.0 -10.539511 -11.083183 -10.539962 -10.645961 -10.720885333333333 -10.70215425 -10.575144666666667
1430.0 -10.533715 -11.080166 -10.530805 -10.621919 -10.714895333333333 -10.69165125 -10.562146333333333
1440.0 -10.527984 -11.07715 -10.521572 -10.584104 -10.708902 -10.677702499999999 -10.544553333333335
