	X1	X2	X3	product	temperature	logk(T)
OHR2	12.817	13.5618	10.817	1	441	-11.982343
OHR2	12.817	13.5618	10.817	1	444	-11.97392197
OHR2	12.817	13.5618	10.817	1	447	-11.96557852
OHR2	12.817	13.5618	10.817	1	450	-11.95731135
OHR2	12.817	13.5618	10.817	1	453	-11.94911915
OHR2	12.817	13.5618	10.817	1	456	-11.94100069
OHR2	12.817	13.5618	10.817	1	459	-11.93295475
OHR2	12.817	13.5618	10.817	1	462	-11.92498011
OHR2	12.817	13.5618	10.817	1	465	-11.91707562
OHR2	12.817	13.5618	10.817	1	468	-11.90924015
OHR2	12.817	13.5618	10.817	1	471	-11.90147257
OHR2	12.817	13.5618	10.817	1	474	-11.8937718
OHR2	12.817	13.5618	10.817	1	477	-11.88613678
OHR2	12.817	13.5618	10.817	1	480	-11.87856646
OHR2	12.817	13.5618	10.817	1	483	-11.87105985
OHR2	12.817	13.5618	10.817	1	486	-11.86361593
OHR2	12.817	13.5618	10.817	1	489	-11.85623374
OHR2	12.817	13.5618	10.817	1	492	-11.84891234
OHR2	12.817	13.5618	10.817	1	495	-11.8416508
OHR2	12.817	13.5618	10.817	1	498	-11.8344482
OHR2	12.817	13.5618	10.817	1	501	-11.82730366
OHR2	12.817	13.5618	10.817	1	504	-11.82021631
OHR2	12.817	13.5618	10.817	1	507	-11.8131853
OHR2	12.817	13.5618	10.817	1	510	-11.8062098
OHR2	12.817	13.5618	10.817	1	513	-11.799289
OHR2	12.817	13.5618	10.817	1	516	-11.79242209
OHR2	12.817	13.5618	10.817	1	519	-11.78560829
OHR2	12.817	13.5618	10.817	1	522	-11.77884685
OHR2	12.817	13.5618	10.817	1	525	-11.772137
OHR2	12.817	13.5618	10.817	1	528	-11.76547802
OHR2	12.817	13.5618	10.817	1	531	-11.75886919
OHR2	12.817	13.5618	10.817	1	534	-11.75230981
OHR2	12.817	13.5618	10.817	1	537	-11.74579918
OHR2	12.817	13.5618	10.817	1	540	-11.73933663
OHR2	12.817	13.5618	10.817	1	543	-11.73292149
OHR2	12.817	13.5618	10.817	1	546	-11.72655312
OHR2	12.817	13.5618	10.817	1	549	-11.72023087
OHR2	12.817	13.5618	10.817	1	552	-11.71395413
OHR2	12.817	13.5618	10.817	1	555	-11.70772228
OHR2	12.817	13.5618	10.817	1	558	-11.70153473
OHR2	12.817	13.5618	10.817	1	561	-11.69539087
OHR2	12.817	13.5618	10.817	1	564	-11.68929014
OHR2	12.817	13.5618	10.817	1	567	-11.68323196
OHR2	12.817	13.5618	10.817	1	570	-11.67721579
OHR2	12.817	13.5618	10.817	1	573	-11.67124107
OHR2	12.817	13.5618	10.817	1	576	-11.66530727
OHR2	12.817	13.5618	10.817	1	579	-11.65941387
OHR2	12.817	13.5618	10.817	1	582	-11.65356034
OHR2	12.817	13.5618	10.817	1	585	-11.64774619
OHR2	12.817	13.5618	10.817	1	588	-11.64197091
OHR2	12.817	13.5618	10.817	1	591	-11.63623402
OHR2	12.817	13.5618	10.817	1	594	-11.63053503
OHR2	12.817	13.5618	10.817	1	597	-11.62487348
OHR2	12.817	13.5618	10.817	1	600	-11.6192489
OHR2	12.817	13.5618	10.817	1	603	-11.61366085
OHR2	12.817	13.5618	10.817	1	606	-11.60810887
OHR2	12.817	13.5618	10.817	1	609	-11.60259252
OHR2	12.817	13.5618	10.817	1	612	-11.59711138
OHR2	12.817	13.5618	10.817	1	615	-11.59166502
OHR2	12.817	13.5618	10.817	1	618	-11.58625302
OHR2	12.817	13.5618	10.817	1	621	-11.58087498
OHR2	12.817	13.5618	10.817	1	624	-11.5755305
OHR2	12.817	13.5618	10.817	1	627	-11.57021918
OHR2	12.817	13.5618	10.817	1	630	-11.56494063
OHR2	12.817	13.5618	10.817	1	633	-11.55969448
OHR2	12.817	13.5618	10.817	1	636	-11.55448034
OHR2	12.817	13.5618	10.817	1	639	-11.54929785
OHR2	12.817	13.5618	10.817	1	642	-11.54414664
OHR2	12.817	13.5618	10.817	1	645	-11.53902636
OHR2	12.817	13.5618	10.817	1	648	-11.53393665
OHR2	12.817	13.5618	10.817	1	651	-11.52887718
OHR2	12.817	13.5618	10.817	1	654	-11.5238476
OHR2	12.817	13.5618	10.817	1	657	-11.51884758
OHR2	12.817	13.5618	10.817	1	660	-11.51387678
OHR2	12.817	13.5618	10.817	1	663	-11.5089349
OHR2	12.817	13.5618	10.817	1	666	-11.5040216
OHR2	12.817	13.5618	10.817	1	669	-11.49913658
OHR2	12.817	13.5618	10.817	1	672	-11.49427952
OHR2	12.817	13.5618	10.817	1	675	-11.48945012
OHR2	12.817	13.5618	10.817	1	678	-11.4846481
OHR2	12.817	13.5618	10.817	1	681	-11.47987314
OHR2	12.817	13.5618	10.817	1	684	-11.47512496
OHR2	12.817	13.5618	10.817	1	687	-11.47040328
OHR2	12.817	13.5618	10.817	1	690	-11.46570782
OHR2	12.817	13.5618	10.817	1	693	-11.46103829
OHR2	12.817	13.5618	10.817	1	696	-11.45639443
OHR2	12.817	13.5618	10.817	1	699	-11.45177598
OHR2	12.817	13.5618	10.817	1	702	-11.44718266
OHR2	12.817	13.5618	10.817	1	705	-11.44261421
OHR2	12.817	13.5618	10.817	1	708	-11.43807039
OHR2	12.817	13.5618	10.817	1	711	-11.43355093
OHR2	12.817	13.5618	10.817	1	714	-11.42905559
OHR2	12.817	13.5618	10.817	1	717	-11.42458413
OHR2	12.817	13.5618	10.817	1	720	-11.4201363
OHR2	12.817	13.5618	10.817	1	723	-11.41571187
OHR2	12.817	13.5618	10.817	1	726	-11.4113106
OHR2	12.817	13.5618	10.817	1	729	-11.40693226
OHR2	12.817	13.5618	10.817	1	732	-11.40257662
OHR2	12.817	13.5618	10.817	1	735	-11.39824347
OHR2	12.817	13.5618	10.817	1	738	-11.39393257
OHR2	12.817	13.5618	10.817	1	741	-11.38964371
OHR2	12.817	13.5618	10.817	1	744	-11.38537668
OHR2	12.817	13.5618	10.817	1	747	-11.38113126
OHR2	12.817	13.5618	10.817	1	750	-11.37690725
OHR2	12.817	13.5618	10.817	1	753	-11.37270444
OHR2	12.817	13.5618	10.817	1	756	-11.36852262
OHR2	12.817	13.5618	10.817	1	759	-11.3643616
OHR2	12.817	13.5618	10.817	1	762	-11.36022118
OHR2	12.817	13.5618	10.817	1	765	-11.35610117
OHR2	12.817	13.5618	10.817	1	768	-11.35200136
OHR2	12.817	13.5618	10.817	1	771	-11.34792158
OHR2	12.817	13.5618	10.817	1	774	-11.34386164
OHR2	12.817	13.5618	10.817	1	777	-11.33982135
OHR2	12.817	13.5618	10.817	1	780	-11.33580053
OHR2	12.817	13.5618	10.817	1	783	-11.331799
OHR2	12.817	13.5618	10.817	1	786	-11.32781658
OHR2	12.817	13.5618	10.817	1	789	-11.32385311
OHR2	12.817	13.5618	10.817	1	792	-11.3199084
OHR2	12.817	13.5618	10.817	1	795	-11.31598229
OHR2	12.817	13.5618	10.817	1	798	-11.31207461
OHR2	12.817	13.5618	10.817	1	800	-11.30947964
OHR2	12.817	13.5618	10.817	1	810	-11.2966249
OHR2	12.817	13.5618	10.817	1	820	-11.28396599
OHR2	12.817	13.5618	10.817	1	830	-11.27149725
OHR2	12.817	13.5618	10.817	1	840	-11.25921325
OHR2	12.817	13.5618	10.817	1	850	-11.24710881
OHR2	12.817	13.5618	10.817	1	860	-11.23517892
OHR2	12.817	13.5618	10.817	1	870	-11.2234188
OHR2	12.817	13.5618	10.817	1	880	-11.21182384
OHR2	12.817	13.5618	10.817	1	890	-11.20038963
OHR2	12.817	13.5618	10.817	1	900	-11.18911192
OHR2	12.817	13.5618	10.817	1	910	-11.17798662
